,Key,Symbol,EntryPrice,CurrentPrice,Quantity,PositionStatus,Pnl
0,2021-09-30 09:30:00,NIFTY30SEP2117650CE,57.55,27.45,50,-1,1505.0
1,2021-09-30 09:30:00,NIFTY30SEP2117650PE,47.8,35.75,50,-1,602.4999999999999
